PE File Segment Analysis:

Segment Name         Characteristics      Avg Size of Raw Data (bytes)   Max        Min             STD                  Count
.data                R E                  4568.23                        13824      3584            885.92               412
INIT                 R E                  4096.0                         4096       4096            0.0                  8
CONST                R                    8192.0                         8192       8192            0.0                  6
.edata               R                    4096.0                         4096       4096            0.0                  6
Pad1                 RW                   0.0                            0          0               0.0                  6
Pad2                 R E                  0.0                            0          0               0.0                  6
.isoapis             RW                   2304.0                         4096       512             1792.0               20
ExtTel               RW                   2304.0                         4096       512             1792.0               6
.sipc                R                    3072.0                         4096       512             1619.09              7
.data                R                    7339.48                        16384      4096            1801.88              418
MCDATA               RW                   2202009.6                      3588096    122880          1697602.21           5
PAGEUPDT             R E                  4096.0                         4096       4096            0.0                  3
SANONTCP             R E                  88064.0                        98304      77824           10240.0              6
RT                   R E                  2304.0                         4096       512             1792.0               8
ERRATA               R E                  3072.0                         4096       2048            1024.0               6
PROTDATA             R                    4096.0                         4096       4096            0.0                  4
Pad1                 R                    0.0                            0          0               0.0                  4
POOLCODE             R E                  8192.0                         8192       8192            0.0                  4
PAGEKD               R E                  24576.0                        24576      24576           0.0                  4
PAGEVRFY             R E                  96028.44                       208896     4096            100962.89            9
PAGEHDLS             R E                  12288.0                        12288      12288           0.0                  4
PAGEBGFX             R E                  28672.0                        28672      28672           0.0                  4
TRACESUP             R E                  8192.0                         8192       8192            0.0                  4
KVASCODE             R E                  12288.0                        12288      12288           0.0                  4
RETPOL               R E                  4096.0                         4096       4096            0.0                  4
INITKDBG             R E                  106496.0                       106496     106496          0.0                  4
